name,country,url,teams,maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,image_url
xccurate,Indonesia,https://www.hltv.org/stats/players/10263/xccurate,"TYLOO,Recca,BTRG,NKT",698,18113,1724,1.15,1.09,13334,https://img-cdn.hltv.org/playerbodyshot/7N3g-XZZaY3IMZBjEgEqX6.png?ixlib=java-2.1.0&w=400&s=6db81590b24589a85f91770367ec46bc
zehN,Finland,https://www.hltv.org/stats/players/1378/zehn,"GODSENT,HAVU,PENTA,PENTA,FunPlus Phoenix",1073,28305,2384,1.13,1.09,20665,https://img-cdn.hltv.org/playerbodyshot/U4OQ_kLcONFWc9xnohIgVV.png?ixlib=java-2.1.0&w=400&s=0b5cb18e5918fd47742bdd00c7e65d84
dennyslaw,Bulgaria,https://www.hltv.org/stats/players/13466/dennyslaw,SKADE,1167,31434,2913,1.15,1.09,22961,https://img-cdn.hltv.org/playerbodyshot/CRBLjKcLl0j5TBPJx6_Dbx.png?ixlib=java-2.1.0&w=400&s=4e2e9a78767b07a54b5ccc8c5aabb8f6
Jame,Russia,https://www.hltv.org/stats/players/13776/jame,"AVANGAR,Virtus.pro",1185,31418,5283,1.31,1.13,22540,https://img-cdn.hltv.org/playerbodyshot/7EC4tcVjT9lW-UTBtHIZm-.png?ixlib=java-2.1.0&w=400&s=ccf790b8f2b224e230e1cc6ebf655c50
El1an,Russia,https://www.hltv.org/stats/players/13281/el1an,"Entropiq,Winstrike,EPG",1290,34420,4748,1.22,1.13,25874,https://img-cdn.hltv.org/playerbodyshot/Vm3vJyQWHRMNT49g47QwJ4.png?ixlib=java-2.1.0&w=400&s=adada0d36e05c9ba308a97e12db07682
sterling,New Zealand,https://www.hltv.org/stats/players/12591/sterling,"AVANT,Looking For Org,Dire Wolves",852,21806,3930,1.30,1.17,16909,https://img-cdn.hltv.org/playerbodyshot/Rg6dzOmjJoGVL8yKT6k_Hb.png?ixlib=java-2.1.0&w=400&s=4c9912cb9efef4bd677fbd288163f647
PwnAlone,United States,https://www.hltv.org/stats/players/15090/pwnalone,"Party Astronauts,New England Whalers,High Coast",909,23690,2239,1.15,1.09,17229,https://img-cdn.hltv.org/playerbodyshot/TeH-BHH0VU-B_Za0ODMdNo.png?ixlib=java-2.1.0&w=400&s=ebaad1b9887b147671fd71b507ffe4c0
CeRq,Bulgaria,https://www.hltv.org/stats/players/11219/cerq,"Evil Geniuses,Evil Geniuses,NRG,Outlaws",1199,31114,3425,1.18,1.10,22812,https://img-cdn.hltv.org/playerbodyshot/ZNhhZdN40a8dKGyKIQacI0.png?ixlib=java-2.1.0&w=400&s=6c29d2ae5d85a4858070b06ddf6012e2
XELLOW,Romania,https://www.hltv.org/stats/players/9626/xellow,Nexus,1097,28850,3371,1.18,1.13,22423,https://img-cdn.hltv.org/playerbodyshot/QDHUPKNhffa4zfjtIPmCkY.png?ixlib=java-2.1.0&w=400&s=e1e5ee0c24621d13762bb54ba31e26fe
Infinite,United States,https://www.hltv.org/stats/players/14619/infinite,Party Astronauts,822,21420,2009,1.14,1.10,15972,https://img-cdn.hltv.org/playerbodyshot/jSn7QmUzK_tBlBxYkymzeq.png?ixlib=java-2.1.0&w=400&s=12409ea1bcb46c1e0ccbfb7548d16ae4
xsepower,Russia,https://www.hltv.org/stats/players/12733/xsepower,"K23,K23,forZe",1249,33554,4599,1.24,1.11,24148,https://img-cdn.hltv.org/playerbodyshot/rJA5OfW5xayP3nKMdfb1Zb.png?ixlib=java-2.1.0&w=400&s=706f83bf70f994d7fece2336b0daf7a6
Sico,New Zealand,https://www.hltv.org/stats/players/9102/sico,"ORDER,ORDER,Renegades,Grayhound,Kings",902,22858,3751,1.28,1.15,17188,https://img-cdn.hltv.org/playerbodyshot/PJZdjeC6LQGbPR6cHqNrb6.png?ixlib=java-2.1.0&w=400&s=a4b19d57811bb0c3c15a7fb66d9cd94e
woxic,Turkey,https://www.hltv.org/stats/players/8574/woxic,"Eternal Fire,HellRaisers,MOUZ,DarkPassage",1178,30952,3868,1.20,1.12,22815,https://img-cdn.hltv.org/playerbodyshot/PbpkMaF76yfEyILpPDP9wC.png?ixlib=java-2.1.0&w=400&s=ae611b4538afcc88dd81270fe23fefa2
frozen,Slovakia,https://www.hltv.org/stats/players/9960/frozen,"MOUZ,eXtatus",1203,31473,3520,1.17,1.12,23866,https://img-cdn.hltv.org/playerbodyshot/UFoUkMCn8TMm5cUJHScvjA.png?ixlib=java-2.1.0&w=400&s=8d85e3f407166d42213e17db078c3c9f
aliStair,Australia,https://www.hltv.org/stats/players/11139/alistair,"ORDER,ORDER,Chiefs,Renegades",1057,26844,2814,1.17,1.10,19564,https://img-cdn.hltv.org/playerbodyshot/n3WiOubOKl9F-wrsP_Et6v.png?ixlib=java-2.1.0&w=400&s=9e3b08bf3fa664c275b51839b23a8ba7
lollipop21k,Belarus,https://www.hltv.org/stats/players/13980/lollipop21k,"Nemiga,GoodJob",1173,31360,2493,1.12,1.09,23585,https://img-cdn.hltv.org/playerbodyshot/sDxyrsx22mUJ9MfC1Xmh5W.png?ixlib=java-2.1.0&w=400&s=2f3d1f82559726dc97ce717f6136d4f4
Twistzz,Canada,https://www.hltv.org/stats/players/10394/twistzz,"FaZe,Liquid",1381,36270,3988,1.18,1.11,26551,https://img-cdn.hltv.org/playerbodyshot/3W2WeF7zohMOjpjxGpurGG.png?ixlib=java-2.1.0&w=400&s=b81a58560cecf792aa16f0ee08f82ee4
oskar,Czech Republic,https://www.hltv.org/stats/players/798/oskar,"MOUZ,SINNERS,HellRaisers",1458,38450,4848,1.20,1.13,29326,https://img-cdn.hltv.org/playerbodyshot/mjBxt791pOK0oZJT3iLjsM.png?ixlib=java-2.1.0&w=400&s=39048c81712640125f5fab6746f24403
